country,total_cases,new_cases,deaths,new_deaths,total_rec,total_critical
China,78073,415,2715,52,30049,8745
South Korea,1261,284,12,1,24,18
Diamond Princess,705,14,4,0,10,36
Italy,383,60,12,1,3,35
Japan,172,11,2,1,23,13
Iran,139,44,19,3,25,0
Singapore,93,2,0,0,62,7
Hong Kong,89,4,2,0,18,6
United States,57,0,0,0,6,0
Thailand,40,3,0,0,22,2
Taiwan,32,1,1,0,5,1
Bahrain,26,3,0,0,0,0
Kuwait,26,15,0,0,0,0
Australia,23,1,0,0,15,0
Malaysia,22,0,0,0,20,0
Germany,19,1,0,0,15,1
France,17,3,2,1,11,1
Vietnam,16,0,0,0,16,0
United Kingdom,13,0,0,0,8,0
United Arab Emirates,13,0,0,0,3,2
Canada,12,1,0,0,3,0
Spain,12,3,0,0,2,0
Macao,10,0,0,0,6,0
Iraq,5,0,0,0,0,0
Oman,4,0,0,0,0,0
Philippines,3,0,1,0,2,0
India,3,0,0,0,3,0
Austria,2,0,0,0,0,0
Croatia,2,1,0,0,0,0
Finland,2,1,0,0,1,0
Israel,2,0,0,0,0,0
Lebanon,2,1,0,0,0,0
Pakistan,2,2,0,0,0,0
Russia,2,0,0,0,2,0
Afghanistan,1,0,0,0,0,0
Algeria,1,0,0,0,0,0
Belgium,1,0,0,0,1,0
Brazil,1,0,0,0,0,0
Cambodia,1,0,0,0,1,0
Egypt,1,0,0,0,1,0
Greece,1,1,0,0,0,0
North Macedonia,1,1,0,0,0,0
Nepal,1,0,0,0,1,0
Sri Lanka,1,0,0,0,1,0
Sweden,1,0,0,0,0,0
Switzerland,1,0,0,0,0,0